TBX3	GATA5	ZNF394	CDH17	XRCC2	CD93	OSR2	CREB5	CD19	RAD51
0.60468	0.12317	0.32879	0.60478	0.14649	0.32588	0.49673	0.64963	0.61408	0.74818
0	0.37268	0.26433	0.36237	0.80434	0.37517	0.83008	0.77452	0.62115	0.7197
0.73311	0	0.37716	0.60029	0.15102	0.33968	0.52083	0.67872	0.73501	0.79226
0.70705	0.13913	0	0.37305	0.079177	0.40257	0.66418	0.80453	0.72203	0.66589
0.84508	0.1071	0.61678	0	0.14892	0.28363	0.10999	0.63422	0.58743	0.71604
0.87801	0.13645	0.42614	0.5617	0	0.32715	0.5417	0.56817	0.7343	0.79334
0.61645	0.3976	0.46141	0.62728	0.094716	0	0.46066	0.59247	0.73743	0.79627
0.69067	0.085596	0.31503	0.27124	0.084393	0.30242	0	0.75033	0.8041	0.63553
0.79963	0.27862	0.37538	0.66379	0.11942	0.63228	0.54643	0	0.7723	0.69175
0.79284	0.1223	0.2351	0.39839	0.13577	0.29834	0.6929	0.76744	0	0.036288
0.79398	0.13999	0.42159	0.36364	0.12413	0.33971	0.61547	0.67761	0.72474	0
0.38984	0.072234	0.3478	0.6397	0.34561	0.31606	0.62446	0.64923	0.66618	0.69237
0.83578	0.035775	0.41213	0.66075	0.14853	0.33264	0.46364	0.81643	0.77638	0.58413
0.68123	0.084094	0.26479	0.70675	0.16581	0.2568	0.53546	0.70552	0.68454	0.77918
0.6802	0.060727	0.41193	0.4467	0.074265	0.29009	0.47543	0.59987	0.67753	0.7787
0.6363	0.075023	0.41032	0.72101	0.12242	0.25322	0.47801	0.61851	0.65735	0.69083
0.67422	0.11507	0.32493	0.65235	0.1544	0.16303	0.59611	0.71129	0.79599	0.69856
0.7706	0.11636	0.24821	0.52184	0.10926	0.27452	0.35864	0.63909	0.65516	0.68303
0.81639	0.17836	0.5012	0.67651	0.10018	0.52163	0.41347	0.3217	0.66536	0.67344
0.7478	0.10899	0.4137	0.71569	0.11532	0.22764	0.60165	0.7494	0.41562	0.62081
0.68911	0.13862	0.45376	0.74762	0.082724	0.30045	0.63867	0.69109	0.81192	0.26458
0.74726	0.014517	0.27684	0.59249	0.11373	0.41998	0.67046	0.78734	0.5851	0.63793
0.19524	0.066668	0.46684	0.76651	0.52014	0.24958	0.32795	0.71708	0.76959	0.6548
0.76841	0.13964	0.12994	0.63052	0.0016216	0.27952	0.57841	0.62095	0.59098	0.6678
0.42003	0.10717	0.33942	0.62843	0.21982	0.32951	0.64016	0.67282	0.47116	0.80431
0.64757	0.02366	0.34947	0.54076	0.047735	0.13404	0.50388	0.45424	0.61253	0.68289
0.22034	0.18799	0.36188	0.59451	0.44123	0.33843	0.41172	0.56547	0.62121	0.7914
0.68448	0.13177	0.15233	0.74335	0.14286	0.32883	0.64943	0.74617	0.84821	0.6229
0.51298	0.14139	0.41011	0.64922	0.062865	0.34045	0.40302	0.66862	0.70334	0.65744
0.67931	0.22254	0.4616	0.66749	0.031957	0.69635	0.42234	0.024688	0.73391	0.76384
0.41145	0.2649	0.53877	0.73221	0.2661	0.62201	0.17924	0.12253	0.69373	0.83562
0.66651	0.12722	0.35506	0.77457	0.10043	0.27549	0.60678	0.7431	0.66564	0.69506
0.32577	0.12182	0.34641	0.72291	0.19246	0.31076	0.6097	0.75675	0.55541	0.73272
0.1775	0.044359	0.57129	0.58683	0.23335	0.35697	0.46473	0.6657	0.7211	0.67172
0.18389	0.061535	0.48498	0.63382	0.40451	0.33757	0.42001	0.73241	0.64023	0.69704
0.093069	0.13984	0.34356	0.53544	0.55833	0.29942	0.41454	0.67715	0.54787	0.75128
0.065301	0.088636	0.31243	0.52555	0.64291	0.36766	0.57886	0.80264	0.59831	0.60886
0.15021	0.094808	0.41264	0.45997	0.53501	0.29929	0.59936	0.61818	0.72887	0.66605
0.091332	0.090451	0.37646	0.4214	0.56415	0.34301	0.67754	0.52354	0.77369	0.7444
0.13586	0.11825	0.51887	0.50301	0.67189	0.23332	0.51428	0.60877	0.68436	0.83653
0.1667	0.076561	0.37687	0.48314	0.67404	0.38159	0.49957	0.59591	0.74865	0.7173
0.11701	0.075504	0.43223	0.5403	0.73547	0.33449	0.50912	0.71528	0.67258	0.6326
0.47088	0.093721	0.34532	0.61839	0.48525	0.35851	0.44792	0.70521	0.79193	0.58682
0.55451	0.14432	0.47634	0.62338	0.3258	0.3239	0.41967	0.72992	0.57916	0.60296
0.57177	0.15802	0.35277	0.64292	0.26344	0.29286	0.45249	0.72106	0.66332	0.69277
0.64375	0.09064	0.38179	0.74482	0.19067	0.30497	0.63565	0.68362	0.80941	0.72866
0.69886	0.095929	0.40258	0.64776	0.12781	0.29349	0.56801	0.7436	0.68197	0.82138
0.60023	0.12511	0.35201	0.78843	0.13401	0.34291	0.56525	0.67011	0.75488	0.68141
0.75168	0.098533	0.45418	0.70866	0.13918	0.31468	0.39503	0.65629	0.65835	0.68363
0.70582	0.08236	0.42546	0.70097	0.096002	0.33092	0.46276	0.66101	0.68662	0.74539
0.68631	0.11312	0.31684	0.66023	0.13898	0.33868	0.59038	0.61519	0.70017	0.64507
0.67859	0.078058	0.33402	0.66954	0.11817	0.28461	0.59387	0.68238	0.77021	0.60681
0.69278	0.17351	0.30808	0.59907	0.14455	0.24942	0.59056	0.6368	0.68911	0.6945
0.6137	0.095433	0.28158	0.6577	0.21363	0.39522	0.21996	0.57119	0.68434	0.68164
0.59239	0.070416	0.28963	0.63491	0.25568	0.33362	0.17066	0.7646	0.64087	0.62013
0.58684	0.088044	0.1936	0.58463	0.13155	0.38495	0.12132	0.70724	0.81663	0.70475
0.62933	0.11499	0.21864	0.45097	0.16871	0.37366	0.078681	0.69708	0.80382	0.69257
0.51702	0.09905	0.21376	0.43336	0.17723	0.38346	0.12429	0.79017	0.75636	0.72866
0.47096	0.11599	0.28922	0.38984	0.23651	0.40001	0.13232	0.6791	0.70908	0.82495
0.627	0.080276	0.29975	0.43842	0.20658	0.39122	0.079275	0.63225	0.66411	0.72803
